fixture,candidate,case,query,execution,corrected_execution,seconds,path_m,remaining_m,floor_error_m,max_stall_s,recoveries,waypoints,expanded,stale
map,legacy,W4/stairs-up,success,arrived,arrived,3.933,14.596,0.443,0.020,0.350,0.000,3.000,,
map,legacy,W4/stairs-down,success,stalled,stalled,23.317,14.352,6.771,3.344,23.283,0.000,3.000,,
map,legacy,E5/entrance,unreachable,unreachable,unreachable,0.000,0.000,2.300,0.003,0.000,0.000,0.000,,
map,legacy,E5/stairs-up,success,arrived,arrived,3.917,15.282,0.437,0.006,0.350,0.000,4.000,,
map,legacy,E5/stairs-down,success,arrived,arrived,3.983,15.195,0.439,0.006,0.467,0.000,3.000,,
map,legacy,E1/entrance,unreachable,unreachable,unreachable,0.000,0.000,2.300,0.359,0.000,0.000,0.000,,
map,legacy,E1/stairs-up,unreachable,unreachable,unreachable,0.000,0.000,5.850,3.030,0.000,0.000,0.000,,
map,legacy,E1/stairs-down,unreachable,unreachable,unreachable,0.000,0.000,5.850,3.030,0.000,0.000,0.000,,
map,legacy,E2/entrance,unreachable,unreachable,unreachable,0.000,0.000,2.300,0.099,0.000,0.000,0.000,,
map,legacy,E3/entrance,unreachable,unreachable,unreachable,0.000,0.000,2.300,0.349,0.000,0.000,0.000,,
map,legacy,E4/entrance,unreachable,unreachable,unreachable,0.000,0.000,2.300,0.099,0.000,0.000,0.000,,
map,legacy,E4/stairs-up,success,execution-failure,execution-failure,4.067,20.916,3.176,1.519,1.900,0.000,3.000,,
map,legacy,E4/stairs-down,success,arrived,execution-failure,4.283,20.948,0.447,0.006,0.517,0.000,3.000,,
map,layers-0.4,enemy-20/anchor-0,success,stalled,stalled,6.550,24.697,19.830,0.082,3.733,0.000,9.000,635.000,673.000
map,layers-0.4,enemy-20/anchor-1,success,stalled,stalled,6.550,32.510,27.835,0.082,3.733,0.000,10.000,1491.000,1588.000
map,layers-0.4,enemy-20/anchor-2,invalid,invalid,invalid,0.000,0.000,1.292,0.077,0.000,0.000,0.000,,
map,layers-0.4,enemy-20/anchor-3,success,arrived,arrived,17.933,27.343,0.426,0.095,0.467,0.000,8.000,707.000,430.000
map,layers-0.4,enemy-20/anchor-4,invalid,invalid,invalid,0.000,0.000,37.123,0.077,0.000,0.000,0.000,,
map,layers-0.4,enemy-20/anchor-5,success,recovery,recovery,17.617,52.855,30.732,0.153,3.000,1.000,11.000,2156.000,2137.000
map,layers-0.4,enemy-20/anchor-6,success,arrived,arrived,3.767,5.955,0.440,0.067,0.467,0.000,4.000,22.000,1.000
map,layers-0.4,enemy-20/anchor-7,invalid,invalid,invalid,0.000,0.000,20.630,0.077,0.000,0.000,0.000,,
map,layers-0.4,enemy-45/anchor-0,success,recovery,recovery,5.533,24.774,15.824,0.155,4.000,1.000,9.000,635.000,673.000
map,layers-0.4,enemy-45/anchor-1,success,recovery,recovery,5.533,32.587,23.810,0.155,4.000,1.000,10.000,1491.000,1588.000
map,layers-0.4,enemy-45/anchor-2,invalid,invalid,invalid,0.000,0.000,1.187,0.087,0.000,0.000,0.000,,
map,layers-0.4,enemy-45/anchor-3,success,arrived,arrived,18.017,27.419,0.427,0.095,0.467,0.000,8.000,707.000,430.000
map,layers-0.4,enemy-45/anchor-4,invalid,invalid,invalid,0.000,0.000,37.071,0.087,0.000,0.000,0.000,,
map,layers-0.4,enemy-45/anchor-5,success,recovery,wrong-arrival,17.767,52.931,30.657,1.999,3.000,1.000,11.000,2156.000,2137.000
map,layers-0.4,enemy-45/anchor-6,success,arrived,arrived,3.833,6.031,0.437,0.067,0.467,0.000,4.000,22.000,1.000
map,layers-0.4,enemy-45/anchor-7,invalid,invalid,invalid,0.000,0.000,20.526,0.087,0.000,0.000,0.000,,
map,layers-0.4,enemy-38/anchor-0,success,arrived,arrived,12.167,18.635,0.449,0.061,0.467,0.000,5.000,345.000,451.000
map,layers-0.4,enemy-38/anchor-1,success,arrived,arrived,14.317,22.062,0.435,0.020,0.467,0.000,6.000,882.000,686.000
map,layers-0.4,enemy-38/anchor-2,invalid,invalid,invalid,0.000,0.000,27.860,0.083,0.000,0.000,0.000,,
map,layers-0.4,enemy-38/anchor-3,success,arrived,arrived,33.433,50.783,0.434,0.095,0.467,0.000,11.000,4751.000,4659.000
map,layers-0.4,enemy-38/anchor-4,invalid,invalid,invalid,0.000,0.000,58.577,0.083,0.000,0.000,0.000,,
map,layers-0.4,enemy-38/anchor-5,search-limit,search-limit,search-limit,0.000,0.000,64.158,0.083,0.000,0.000,0.000,6000.000,5828.000
map,layers-0.4,enemy-38/anchor-6,success,arrived,arrived,24.667,37.624,0.434,0.067,0.467,0.000,9.000,2540.000,2476.000
map,layers-0.4,enemy-38/anchor-7,invalid,invalid,invalid,0.000,0.000,34.269,0.083,0.000,0.000,0.000,,
map,layers-0.4,enemy-13/anchor-0,unreachable,unreachable,unreachable,0.000,0.000,21.577,1.183,0.000,0.000,0.000,,
map,layers-0.4,enemy-13/anchor-1,unreachable,unreachable,unreachable,0.000,0.000,29.387,1.183,0.000,0.000,0.000,,
map,layers-0.4,enemy-13/anchor-2,invalid,invalid,invalid,0.000,0.000,4.121,1.183,0.000,0.000,0.000,,
map,layers-0.4,enemy-13/anchor-3,unreachable,unreachable,unreachable,0.000,0.000,14.304,1.183,0.000,0.000,0.000,,
map,layers-0.4,enemy-13/anchor-4,invalid,invalid,invalid,0.000,0.000,33.026,1.183,0.000,0.000,0.000,,
map,layers-0.4,enemy-13/anchor-5,unreachable,unreachable,unreachable,0.000,0.000,40.180,1.183,0.000,0.000,0.000,,
map,layers-0.4,enemy-13/anchor-6,unreachable,unreachable,unreachable,0.000,0.000,8.754,1.183,0.000,0.000,0.000,,
map,layers-0.4,enemy-13/anchor-7,invalid,invalid,invalid,0.000,0.000,16.077,1.183,0.000,0.000,0.000,,
map,layers-0.4,enemy-12/anchor-0,success,execution-failure,execution-failure,1.500,45.487,34.169,0.537,1.500,0.000,12.000,1513.000,1497.000
map,layers-0.4,enemy-12/anchor-1,success,execution-failure,execution-failure,1.500,53.413,40.839,0.537,1.500,0.000,14.000,2382.000,2618.000
map,layers-0.4,enemy-12/anchor-2,invalid,invalid,invalid,0.000,0.000,20.195,0.387,0.000,0.000,0.000,,
map,layers-0.4,enemy-12/anchor-3,success,execution-failure,execution-failure,1.500,8.075,6.242,0.600,1.500,0.000,6.000,39.000,10.000
map,layers-0.4,enemy-12/anchor-4,invalid,invalid,invalid,0.000,0.000,24.559,0.387,0.000,0.000,0.000,,
map,layers-0.4,enemy-12/anchor-5,success,execution-failure,execution-failure,1.500,36.612,29.950,0.600,1.500,0.000,10.000,1100.000,1054.000
map,layers-0.4,enemy-12/anchor-6,success,execution-failure,execution-failure,1.500,29.267,24.813,0.691,0.817,0.000,10.000,766.000,396.000
map,layers-0.4,enemy-12/anchor-7,invalid,invalid,invalid,0.000,0.000,0.453,0.387,0.000,0.000,0.000,,
map,layers-0.4,W5/entrance,success,arrived,arrived,1.433,2.499,0.436,0.008,0.467,0.000,3.000,12.000,3.000
map,layers-0.4,W5/stairs-up,unreachable,unreachable,unreachable,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
map,layers-0.4,W5/stairs-down,unreachable,unreachable,unreachable,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
map,layers-0.4,W1/entrance,success,arrived,arrived,1.400,2.452,0.441,0.046,0.433,0.000,3.000,8.000,1.000
map,layers-0.4,W2/entrance,invalid,invalid,invalid,0.000,0.000,2.300,0.268,0.000,0.000,0.000,,
map,layers-0.4,W2/stairs-up,unreachable,unreachable,unreachable,0.000,0.000,5.850,3.030,0.000,0.000,0.000,,
map,layers-0.4,W2/stairs-down,unreachable,unreachable,unreachable,0.000,0.000,5.850,3.030,0.000,0.000,0.000,,
map,layers-0.4,W3/entrance,unreachable,unreachable,unreachable,0.000,0.000,2.300,0.272,0.000,0.000,0.000,,
map,layers-0.4,W4/entrance,success,arrived,arrived,1.433,2.825,0.445,0.022,0.467,0.000,3.000,9.000,2.000
map,layers-0.4,W4/stairs-up,invalid,invalid,invalid,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
map,layers-0.4,W4/stairs-down,invalid,invalid,invalid,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
map,layers-0.4,E5/entrance,success,arrived,arrived,1.433,2.897,0.431,0.076,0.467,0.000,3.000,7.000,1.000
map,layers-0.4,E5/stairs-up,success,arrived,arrived,3.850,7.236,0.444,0.006,0.350,0.000,3.000,21.000,1.000
map,layers-0.4,E5/stairs-down,success,arrived,arrived,3.983,7.236,0.439,0.006,0.467,0.000,3.000,18.000,1.000
map,layers-0.4,E1/entrance,success,arrived,arrived,1.500,2.656,0.447,0.008,0.467,0.000,3.000,11.000,1.000
map,layers-0.4,E1/stairs-up,unreachable,unreachable,unreachable,0.000,0.000,5.850,3.030,0.000,0.000,0.000,,
map,layers-0.4,E1/stairs-down,unreachable,unreachable,unreachable,0.000,0.000,5.850,3.030,0.000,0.000,0.000,,
map,layers-0.4,E2/entrance,success,arrived,arrived,1.433,2.560,0.444,0.021,0.467,0.000,3.000,10.000,1.000
map,layers-0.4,E3/entrance,invalid,invalid,invalid,0.000,0.000,2.300,0.349,0.000,0.000,0.000,,
map,layers-0.4,E4/entrance,unreachable,unreachable,unreachable,0.000,0.000,2.300,0.099,0.000,0.000,0.000,,
map,layers-0.4,E4/stairs-up,unreachable,unreachable,unreachable,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
map,layers-0.4,E4/stairs-down,unreachable,unreachable,unreachable,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
map,layers-0.2,enemy-20/anchor-0,success,execution-failure,execution-failure,2.150,24.392,17.477,0.380,0.667,0.000,11.000,2474.000,3304.000
map,layers-0.2,enemy-20/anchor-1,success,execution-failure,execution-failure,2.150,32.420,25.481,0.380,0.667,0.000,14.000,5846.000,6811.000
map,layers-0.2,enemy-20/anchor-2,invalid,invalid,invalid,0.000,0.000,1.292,0.077,0.000,0.000,0.000,,
map,layers-0.2,enemy-20/anchor-3,success,wrong-arrival,wrong-arrival,9.517,27.066,18.307,0.518,2.850,0.000,11.000,2470.000,1569.000
map,layers-0.2,enemy-20/anchor-4,invalid,invalid,invalid,0.000,0.000,37.123,0.077,0.000,0.000,0.000,,
map,layers-0.2,enemy-20/anchor-5,unreachable,unreachable,unreachable,0.000,0.000,44.445,0.077,0.000,0.000,0.000,,
map,layers-0.2,enemy-20/anchor-6,success,arrived,arrived,3.717,5.801,0.447,0.067,0.467,0.000,4.000,106.000,34.000
map,layers-0.2,enemy-20/anchor-7,invalid,invalid,invalid,0.000,0.000,20.630,0.077,0.000,0.000,0.000,,
map,layers-0.2,enemy-45/anchor-0,success,execution-failure,execution-failure,2.217,24.489,17.486,0.376,0.717,0.000,11.000,2474.000,3304.000
map,layers-0.2,enemy-45/anchor-1,success,execution-failure,execution-failure,2.217,32.517,25.490,0.376,0.717,0.000,14.000,5846.000,6811.000
map,layers-0.2,enemy-45/anchor-2,invalid,invalid,invalid,0.000,0.000,1.187,0.087,0.000,0.000,0.000,,
map,layers-0.2,enemy-45/anchor-3,success,stalled,wrong-arrival,8.967,27.163,21.413,0.067,3.933,0.000,11.000,2470.000,1569.000
map,layers-0.2,enemy-45/anchor-4,invalid,invalid,invalid,0.000,0.000,37.071,0.087,0.000,0.000,0.000,,
map,layers-0.2,enemy-45/anchor-5,unreachable,unreachable,unreachable,0.000,0.000,44.385,0.087,0.000,0.000,0.000,,
map,layers-0.2,enemy-45/anchor-6,success,arrived,arrived,3.783,5.899,0.444,0.067,0.467,0.000,4.000,106.000,34.000
map,layers-0.2,enemy-45/anchor-7,invalid,invalid,invalid,0.000,0.000,20.526,0.087,0.000,0.000,0.000,,
map,layers-0.2,enemy-38/anchor-0,success,arrived,arrived,12.183,18.628,0.426,0.062,0.467,0.000,6.000,1401.000,2221.000
map,layers-0.2,enemy-38/anchor-1,success,arrived,arrived,13.233,20.237,0.431,0.018,0.467,0.000,7.000,3297.000,2703.000
map,layers-0.2,enemy-38/anchor-2,invalid,invalid,invalid,0.000,0.000,27.860,0.083,0.000,0.000,0.000,,
map,layers-0.2,enemy-38/anchor-3,search-limit,search-limit,search-limit,0.000,0.000,37.760,0.083,0.000,0.000,0.000,6000.000,5010.000
map,layers-0.2,enemy-38/anchor-4,invalid,invalid,invalid,0.000,0.000,58.577,0.083,0.000,0.000,0.000,,
map,layers-0.2,enemy-38/anchor-5,unreachable,unreachable,unreachable,0.000,0.000,64.158,0.083,0.000,0.000,0.000,,
map,layers-0.2,enemy-38/anchor-6,search-limit,search-limit,search-limit,0.000,0.000,33.651,0.083,0.000,0.000,0.000,6000.000,5581.000
map,layers-0.2,enemy-38/anchor-7,invalid,invalid,invalid,0.000,0.000,34.269,0.083,0.000,0.000,0.000,,
map,layers-0.2,enemy-13/anchor-0,unreachable,unreachable,unreachable,0.000,0.000,21.577,1.183,0.000,0.000,0.000,,
map,layers-0.2,enemy-13/anchor-1,unreachable,unreachable,unreachable,0.000,0.000,29.387,1.183,0.000,0.000,0.000,,
map,layers-0.2,enemy-13/anchor-2,invalid,invalid,invalid,0.000,0.000,4.121,1.183,0.000,0.000,0.000,,
map,layers-0.2,enemy-13/anchor-3,unreachable,unreachable,unreachable,0.000,0.000,14.304,1.183,0.000,0.000,0.000,,
map,layers-0.2,enemy-13/anchor-4,invalid,invalid,invalid,0.000,0.000,33.026,1.183,0.000,0.000,0.000,,
map,layers-0.2,enemy-13/anchor-5,unreachable,unreachable,unreachable,0.000,0.000,40.180,1.183,0.000,0.000,0.000,,
map,layers-0.2,enemy-13/anchor-6,unreachable,unreachable,unreachable,0.000,0.000,8.754,1.183,0.000,0.000,0.000,,
map,layers-0.2,enemy-13/anchor-7,invalid,invalid,invalid,0.000,0.000,16.077,1.183,0.000,0.000,0.000,,
map,layers-0.2,enemy-12/anchor-0,success,execution-failure,execution-failure,1.567,44.452,34.136,1.117,0.850,0.000,14.000,5772.000,6931.000
map,layers-0.2,enemy-12/anchor-1,search-limit,search-limit,search-limit,0.000,0.000,41.111,0.387,0.000,0.000,0.000,6000.000,6878.000
map,layers-0.2,enemy-12/anchor-2,invalid,invalid,invalid,0.000,0.000,20.195,0.387,0.000,0.000,0.000,,
map,layers-0.2,enemy-12/anchor-3,success,execution-failure,execution-failure,1.567,7.821,6.206,0.899,1.550,0.000,7.000,145.000,75.000
map,layers-0.2,enemy-12/anchor-4,invalid,invalid,invalid,0.000,0.000,24.559,0.387,0.000,0.000,0.000,,
map,layers-0.2,enemy-12/anchor-5,unreachable,unreachable,unreachable,0.000,0.000,29.664,0.387,0.000,0.000,0.000,,
map,layers-0.2,enemy-12/anchor-6,success,execution-failure,execution-failure,1.567,29.308,24.765,1.117,0.850,0.000,11.000,2974.000,1734.000
map,layers-0.2,enemy-12/anchor-7,invalid,invalid,invalid,0.000,0.000,0.453,0.387,0.000,0.000,0.000,,
map,layers-0.2,W5/entrance,success,arrived,arrived,1.433,2.499,0.436,0.008,0.467,0.000,3.000,61.000,28.000
